26-06-2020 16:56:41.976 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tim26.AdService.AdServiceApplicationTests], using SpringBootContextLoader
26-06-2020 16:56:41.982 INFO  [main] o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.tim26.AdService.AdServiceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
26-06-2020 16:56:41.982 INFO  [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.tim26.AdService.AdServiceApplicationTests]: AdServiceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
26-06-2020 16:56:42.072 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.tim26.AdService.AdServiceApplication for test class com.tim26.AdService.AdServiceApplicationTests
26-06-2020 16:56:42.168 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
26-06-2020 16:56:42.186 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@10c626be, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2fc0cc3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@328cf0e1, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@63b1d4fa, org.springframework.test.context.support.DirtiesContextTestExecutionListener@42e3ede4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@201b6b6f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@75459c75, org.springframework.test.context.event.EventPublishingTestExecutionListener@183e8023, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@45efc20d, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@3e5499cc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@67ab1c47, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@b78a709, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@30bcf3c1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2a3c96e3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@15cafec7, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5b444398]
26-06-2020 16:56:43.417 INFO  [main] c.t.A.AdServiceApplicationTests - No active profile set, falling back to default profiles: default
26-06-2020 16:56:44.180 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
26-06-2020 16:56:44.370 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 182ms. Found 6 JPA repository interfaces.
26-06-2020 16:56:44.700 INFO  [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=4277d018-30b7-3f93-b6ef-7571b47ae063
26-06-2020 16:56:44.913 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$d9c1ee74] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
