27-06-2020 07:36:09.048 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tim26.AuthenticationService.AuthenticationServiceApplicationTests], using SpringBootContextLoader
27-06-2020 07:36:09.064 INFO  [main] o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.tim26.AuthenticationService.AuthenticationServiceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
27-06-2020 07:36:09.064 INFO  [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.tim26.AuthenticationService.AuthenticationServiceApplicationTests]: AuthenticationServiceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
27-06-2020 07:36:09.225 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.tim26.AuthenticationService.AuthenticationServiceApplication for test class com.tim26.AuthenticationService.AuthenticationServiceApplicationTests
27-06-2020 07:36:09.366 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
27-06-2020 07:36:09.416 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4278284b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@9573584, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3370f42, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6057aebb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@63eef88a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@53251a66, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6853425f, org.springframework.test.context.event.EventPublishingTestExecutionListener@352c1b98, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@21129f1f, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@5a9f4771, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@282cb7c7, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7d898981, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@48d61b48, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@68d279ec, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@258d79be, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@14f9390f]
27-06-2020 07:36:11.164 INFO  [main] c.t.A.AuthenticationServiceApplicationTests - No active profile set, falling back to default profiles: default
27-06-2020 07:36:12.508 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
27-06-2020 07:36:12.833 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 322ms. Found 4 JPA repository interfaces.
27-06-2020 07:36:13.468 INFO  [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=b311c163-1dcc-33aa-9eda-3f853a8ef8f7
27-06-2020 07:36:13.889 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$a59d4962] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
