27-06-2020 07:37:35.718 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tim26.RentRequestService.RentRequestServiceApplicationTests], using SpringBootContextLoader
27-06-2020 07:37:35.734 INFO  [main] o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.tim26.RentRequestService.RentRequestServiceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
27-06-2020 07:37:35.734 INFO  [main] o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.tim26.RentRequestService.RentRequestServiceApplicationTests]: RentRequestServiceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
27-06-2020 07:37:35.874 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.tim26.RentRequestService.RentRequestServiceApplication for test class com.tim26.RentRequestService.RentRequestServiceApplicationTests
27-06-2020 07:37:36.046 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
27-06-2020 07:37:36.077 INFO  [main] o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@13d4992d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@302f7971, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@332729ad, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@75d2da2d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4278284b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@9573584, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3370f42, org.springframework.test.context.event.EventPublishingTestExecutionListener@6057aebb, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@63eef88a, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@53251a66, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6853425f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@352c1b98, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@21129f1f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5a9f4771, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@282cb7c7, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7d898981]
27-06-2020 07:37:37.802 INFO  [main] c.t.R.RentRequestServiceApplicationTests - No active profile set, falling back to default profiles: default
27-06-2020 07:37:39.009 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
27-06-2020 07:37:39.227 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 220ms. Found 2 JPA repository interfaces.
27-06-2020 07:37:39.792 INFO  [main] o.s.cloud.context.scope.GenericScope - BeanFactory id=259b9607-1e86-356d-b884-9f4c6ec1d171
27-06-2020 07:37:40.199 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$fde6bc1e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
